0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.26652831	0.00000000	0.30238483	0.00000000	-0.00000000	0.00000000	6.83766900	5.82509380	0.00000000	0.00014018	0.51607867
0.00037763	0.31753281	0.16517421	0.09562324	0.00119671	0.08188044	0.24881940	0.00618180	0.30048684	-0.00001753	-0.00000361	0.00000002	6.41378530	5.64526020	0.00034848	0.00014041	0.52428002
0.00084407	0.70973660	0.37278683	0.21315138	0.00565191	0.17538174	0.22903467	0.01396701	0.30057555	-0.00021158	-0.00002045	0.00000019	6.04587250	5.42442410	0.00160509	0.00014520	0.53440076
0.00139657	1.17429850	0.62378277	0.35239436	0.01449549	0.27645963	0.20818643	0.02339050	0.30309892	-0.00102751	-0.00006337	0.00000090	5.77427160	5.16455830	0.00403407	0.00017347	0.54607566
0.00203251	1.70902590	0.91916072	0.51338490	0.02851958	0.38114082	0.18720580	0.03443644	0.30712004	-0.00334726	-0.00015088	0.00000289	5.59412370	4.86710550	0.00784376	0.00026991	0.55846238
0.00274942	2.31183750	1.25948340	0.69548574	0.04810776	0.48592068	0.16734285	0.04696661	0.31070335	-0.00858758	-0.00030610	0.00000730	5.47083690	4.53245150	0.01322639	0.00051002	0.57018157
0.00354496	2.98076330	1.64420570	0.89633028	0.07323941	0.58786592	0.15020996	0.06066492	0.31151460	-0.01862748	-0.00055279	0.00001556	5.35400750	4.16011640	0.02038224	0.00099197	0.57932938
0.00441690	3.71393340	2.07095020	1.11108120	0.10355491	0.68475918	0.13753094	0.07504282	0.30787679	-0.03550637	-0.00090874	0.00002914	5.20495010	3.75061690	0.02951606	0.00181273	0.58374586
0.00536313	4.50957170	2.53497890	1.33254130	0.13845612	0.77514601	0.13049382	0.08950984	0.29942879	-0.06094747	-0.00137891	0.00004921	5.01490060	3.30873070	0.04079231	0.00303202	0.58146289
0.00638165	5.36598630	3.02909040	1.55211620	0.17721381	0.85831552	0.12909171	0.10347159	0.28714983	-0.09588424	-0.00195070	0.00007635	4.80451170	2.84628500	0.05426714	0.00463340	0.57117219
0.00747052	6.28156350	3.54404640	1.76122550	0.21905972	0.93418295	0.13208965	0.11641569	0.27284548	-0.14017081	-0.00259404	0.00011031	4.60713240	2.38235010	0.06982092	0.00649776	0.55254203
0.00862794	7.25476830	4.06944060	1.95261010	0.26325104	1.00311130	0.13770893	0.12796555	0.25842920	-0.19257962	-0.00326715	0.00015005	4.44948300	1.94019570	0.08712789	0.00840431	0.52626369
0.00985214	8.28413810	4.59477280	2.12117440	0.30910464	1.06570290	0.14436305	0.13789868	0.24533042	-0.25105634	-0.00392627	0.00019383	4.34125760	1.54232090	0.10567362	0.01006742	0.49384711
0.01114148	9.36827610	5.11046140	2.26425000	0.35600694	1.12262730	0.15096859	0.14613577	0.23423099	-0.31312434	-0.00453506	0.00023970	4.27589930	1.20576750	0.12482595	0.01120395	0.45727304
0.01249437	10.50584800	5.60858730	2.38137920	0.40340925	1.17449880	0.15692047	0.15271185	0.22514759	-0.37629908	-0.00506970	0.00028588	4.23791650	0.93944119	0.14392758	0.01161381	0.41861546
0.01390929	11.69557700	6.08327270	2.47380940	0.45081807	1.22182010	0.16194861	0.15774067	0.21770831	-0.43841118	-0.00551844	0.00033107	4.21063170	0.74392183	0.16238600	0.01125032	0.37973936
0.01538478	12.93623800	6.53071610	2.54389790	0.49778780	1.26498030	0.16598288	0.16138103	0.21143570	-0.49778834	-0.00587769	0.00037437	4.18106920	0.61316236	0.17973573	0.01025989	0.34212250
0.01691946	14.22666400	6.94897330	2.59456320	0.54391831	1.30427160	0.16905679	0.16380965	0.20591683	-0.55330425	-0.00614820	0.00041519	4.14137930	0.53702568	0.19566315	0.00898055	0.30679155
0.01851198	15.56573400	7.33759730	2.62886470	0.58885659	1.33992470	0.17125136	0.16520232	0.20086168	-0.60432933	-0.00633328	0.00045303	4.08820180	0.50374220	0.21000467	0.00790178	0.27435396
0.02016109	16.95237800	7.69724450	2.64972450	0.63230083	1.37213870	0.17266421	0.16572260	0.19609230	-0.65063209	-0.00643824	0.00048746	4.02121580	0.50176621	0.22272643	0.00759796	0.24507688
0.02186554	18.38556300	8.02930930	2.65977220	0.67400390	1.40109990	0.17339378	0.16551649	0.19150780	-0.69226653	-0.00646994	0.00051818	3.94173300	0.52090582	0.23389331	0.00865231	0.21897930
0.02362417	19.86429900	8.33562430	2.66128440	0.71377500	1.42699740	0.17353228	0.16471122	0.18705202	-0.72947077	-0.00643653	0.00054515	3.85171920	0.55282198	0.24363848	0.01158684	0.19591980
0.02543584	21.38763500	8.61823480	2.65617940	0.75147877	1.45002730	0.17316363	0.16341634	0.18269256	-0.76258609	-0.00634701	0.00056853	3.75325500	0.59109765	0.25213421	0.01680917	0.17566455
0.02729947	22.95465900	8.87924060	2.64604310	0.78703167	1.47038910	0.17236402	0.16172564	0.17841037	-0.79199929	-0.00621051	0.00058862	3.64831420	0.63105795	0.25956745	0.02458089	0.15793706
0.02921401	24.56449300	9.12069170	2.63216990	0.82039632	1.48828320	0.17120229	0.15971947	0.17419551	-0.81810390	-0.00603560	0.00060579	3.53870090	0.66948792	0.26612453	0.03500704	0.14245105
0.03117846	26.21629200	9.34452700	2.61560700	0.85157484	1.50391070	0.16973899	0.15746693	0.17004415	-0.84127712	-0.00583132	0.00062043	3.42601200	0.70432818	0.27198135	0.04804345	0.12893120
