# y, y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 0.000000000000000000e+00 7.125340751136554245e-36 2.490180081760423880e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.425068150227311116e-35 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.814781378392751776e-05 4.473535515368328580e-03 2.490661886282580940e-06 2.488030634981298894e-01 0.000000000000000000e+00 9.999999999186288679e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.452611444956582042e-06 -9.953274406688400046e-11 0.000000000000000000e+00 -9.953274406688400046e-11 6.840038209023697676e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.528712259208197917e-06 4.473535515307076361e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.407066139520352976e-04 2.236466210347309858e-02 6.214260464052140994e-05 2.479509744528287929e-01 0.000000000000000000e+00 9.999999877392161673e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.625131728007466125e-05 -1.245808098267655078e-08 0.000000000000000000e+00 -1.245808098267655078e-08 4.249568155808983145e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.803384950528657696e-05 2.236466203545893830e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.738422300787139108e-04 6.260839093421922963e-02 4.851301848981665055e-04 2.460769032966423908e-01 0.000000000000000000e+00 9.999997268867222289e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.752324205353793084e-04 -2.743622344003174924e-07 0.000000000000000000e+00 -2.743622344003174924e-07 2.578128814918882805e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.950253711321387221e-04 6.260838667370624555e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.443558326269966940e-03 1.341246659724782131e-01 2.211490701011468909e-03 2.428995280816146907e-01 0.000000000000000000e+00 9.999972887728999504e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.093359873337859882e-03 -2.715371143575455032e-06 0.000000000000000000e+00 -2.715371143575455032e-06 5.312797160057503798e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.329568400713477096e-03 1.341245753607598901e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.645631688031890860e-03 2.458123513168803953e-01 7.352469167594462979e-03 2.383226653879250978e-01 0.000000000000000000e+00 9.999831303772672708e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.036303288622631054e-02 -1.688225416984767013e-05 0.000000000000000000e+00 -1.688225416984767013e-05 5.792636514843281149e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.341326185311131410e-03 2.458113194396925882e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.375547662071155308e-03 4.065432327479078789e-01 1.982960203913888830e-02 2.324740429835016053e-01 0.000000000000000000e+00 9.999226294586531782e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.824937682918444992e-02 -7.740558842289310161e-05 0.000000000000000000e+00 -7.740558842289310161e-05 4.126798444280630375e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.140570045064905058e-02 4.065354231473300994e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.728435792545117700e-03 6.251560375286207005e-01 4.604671264612174991e-02 2.256700843162980918e-01 0.000000000000000000e+00 9.997139525587912523e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.652231777644262989e-02 -2.861301381201513836e-04 0.000000000000000000e+00 -2.861301381201513836e-04 2.159725716771177114e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.554951025863315059e-02 6.251117517394423340e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.750857883363828194e-03 9.059769409737693513e-01 9.461453816102838310e-02 2.184078753544420881e-01 0.000000000000000000e+00 9.991137219954867588e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.390310153354293865e-01 -8.864507191874609936e-04 0.000000000000000000e+00 -8.864507191874609936e-04 8.757240684524359190e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.011048857978209897e-02 9.057785083829588135e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.344077661230324953e-02 1.248816650307436937e+00 1.753073720015523862e-01 2.110775354809593107e-01 0.000000000000000000e+00 9.976410932692463263e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.626122228076375187e-01 -2.359235424691831940e-03 0.000000000000000000e+00 -2.359235424691831940e-03 2.856771169767795228e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.771684407849043852e-02 1.248089077742575936e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.779570471808555876e-02 1.653444067774858084e+00 2.986744261743706219e-01 2.036703784573382914e-01 0.000000000000000000e+00 9.944662704943635356e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.567041871396125274e-01 -5.534307605235309381e-03 0.000000000000000000e+00 -5.534307605235309381e-03 7.804945405090631377e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.398641706686196973e-01 1.651179349783246986e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.281270667696611021e-02 2.119586446418364911e+00 4.749947880192049166e-01 1.958269015894376075e-01 0.000000000000000000e+00 9.883305684902620181e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.415457472861074484e-01 -1.167038255165015956e-02 0.000000000000000000e+00 -1.167038255165015956e-02 1.845912718344232956e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.065979160339581899e-01 2.113425823857622010e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.848840068147994939e-02 2.646929573927748969e+00 7.125619693787732523e-01 1.871123602113392015e-01 0.000000000000000000e+00 9.775643549881044558e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.134727861231483059e+00 -2.243712362737387139e-02 0.000000000000000000e+00 -2.243712362737387139e-02 3.878280844506099174e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.865177966815579125e-01 2.631966370914787134e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.481896092001469240e-02 3.235117984441154171e+00 1.015278112458980031e+00 1.774446883926233121e-01 0.000000000000000000e+00 9.602683299841219267e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.646074650849058019e+00 -3.973385941516696662e-02 0.000000000000000000e+00 -3.973385941516696662e-02 7.386563041896092134e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.770950110270054889e-01 3.202151086281827208e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.180012015567313721e-02 3.883755198153751031e+00 1.380135179864816930e+00 1.673982705983456110e-01 0.000000000000000000e+00 9.346701947551362410e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.272100439370329905e+00 -6.533290673158283213e-02 0.000000000000000000e+00 -6.533290673158283213e-02 1.295939950339203978e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.752105208559115890e-01 3.817075516949009817e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.942717260268714163e-02 4.592403988572637985e+00 1.795721996379441077e+00 1.580982044918642082e-01 0.000000000000000000e+00 8.995754981803211203e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.992475369289194997e+00 -1.004287182536287987e-01 0.000000000000000000e+00 -1.004287182536287987e-01 2.121656036460724953e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.777520631050800937e-01 4.467398268265264427e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.769497709844340072e-02 5.360586677237812125e+00 2.242834732932663222e+00 1.507156513306220913e-01 0.000000000000000000e+00 8.547559641142724596e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.770824310311622796e+00 -1.452495618334403993e-01 0.000000000000000000e+00 -1.452495618334403993e-01 3.275603987431827124e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.820891156793847943e-01 5.141607119405126269e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.659796056898437122e-02 6.187785455710644200e+00 2.697398192674004047e+00 1.459038040914512058e-01 0.000000000000000000e+00 8.011209128214821229e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.560388500090993169e+00 -1.988861153196959941e-01 0.000000000000000000e+00 -1.988861153196959941e-01 4.810672650335384715e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.863011587536614666e-01 5.826766319802442418e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.613012178564637633e-02 7.073442734612656047e+00 3.134764932789249947e+00 1.435408480848504031e-01 0.000000000000000000e+00 7.406032746140386314e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.312696481256239167e+00 -2.594054613599082182e-01 0.000000000000000000e+00 -2.594054613599082182e-01 6.769175671401704564e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.891416276082427794e-01 6.509610300459608645e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.628503541030430046e-02 8.016961519479471221e+00 3.533851215145793034e+00 1.428806584164603877e-01 0.000000000000000000e+00 6.758076601177970266e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.986078943385003015e+00 -3.242030099323245929e-01 0.000000000000000000e+00 -3.242030099323245929e-01 9.180254048788528964e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.898209464186971118e-01 7.177729840701838171e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.705585632649549321e-02 9.017705813176515761e+00 3.879833564175426019e+00 1.429358455506375969e-01 0.000000000000000000e+00 6.095487967453040445e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.551347633405676163e+00 -3.904640425732555098e-01 0.000000000000000000e+00 -3.904640425732555098e-01 1.205808978388677039e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.087738597106308047e+00 7.820579703977930563e+00 0.000000000000000000e+00 0.000000000000000000e+00
