# y, y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 0.000000000000000000e+00 5.589242289816008667e-36 2.761278364859712786e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.117848457963202001e-35 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.059765673623203952e-05 4.520751555384802320e-03 2.820457713799550987e-06 2.758969552024729266e-01 0.000000000000000000e+00 9.999999999142790141e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.941949734025412363e-06 -1.013506014778503965e-10 0.000000000000000000e+00 -1.013506014778503965e-10 7.403340326338144650e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.698965619540287022e-06 4.520751555331789170e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.029823439926414033e-04 2.260245414047382106e-02 7.038577278631306141e-05 2.749818827311945046e-01 0.000000000000000000e+00 9.999999874698342062e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.849405364452970503e-05 -1.269085195617324981e-08 0.000000000000000000e+00 -1.269085195617324981e-08 4.600037051710301263e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.227744592772591289e-05 2.260245407012829999e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.883256182004689805e-04 6.328139669617081908e-02 5.496754640050813311e-04 2.729676566388273273e-01 0.000000000000000000e+00 9.999997213231153204e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.713089806315963880e-04 -2.796971577481122113e-07 0.000000000000000000e+00 -2.796971577481122113e-07 2.790771844731324829e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.280391566067214818e-04 6.328139230078351496e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.177693459122890474e-04 1.355873518607302042e-01 2.507017509488397924e-03 2.695512721636407760e-01 0.000000000000000000e+00 9.999972322019862192e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.535010264509402984e-03 -2.771352666866210071e-06 0.000000000000000000e+00 -2.771352666866210071e-06 5.749781223627128036e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.478967256655155981e-03 1.355872583557896083e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.132413839837087977e-03 2.485409720794911903e-01 8.340847494839686779e-03 2.646285026427543929e-01 0.000000000000000000e+00 9.999827538810873717e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.184919486320168934e-02 -1.725792994520475927e-05 0.000000000000000000e+00 -1.725792994520475927e-05 6.265772245774421909e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.831873549253102619e-03 2.485399058637879910e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.873306006858532985e-03 4.111511883446702931e-01 2.251546550271998903e-02 2.583285193378658251e-01 0.000000000000000000e+00 9.999207429717074103e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.232261768327743950e-02 -7.929038512024295536e-05 0.000000000000000000e+00 -7.929038512024295536e-05 4.459720800207397616e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.270385360136233079e-02 4.111431029305692153e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.881427511453483071e-03 6.324126123151811996e-01 5.234046310203199076e-02 2.509705954808451045e-01 0.000000000000000000e+00 9.997062796824193187e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.617344367794298687e-02 -2.937992513659617067e-04 0.000000000000000000e+00 -2.937992513659617067e-04 2.330669301823248160e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.848417583310277126e-02 6.323666511751658836e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.177085301188321331e-03 9.167821910103595151e-01 1.076806729204320967e-01 2.430480868799556882e-01 0.000000000000000000e+00 9.990876757818358822e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.593346836353934926e-01 -9.124901704620004854e-04 0.000000000000000000e+00 -9.124901704620004854e-04 9.432575200853134914e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.593233645346201710e-02 9.165756954214407948e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.759905750861604723e-03 1.264177921572686936e+00 1.997841982563660912e-01 2.349094171179461898e-01 0.000000000000000000e+00 9.975662603670676365e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.012089140151130162e-01 -2.434057401762234046e-03 0.000000000000000000e+00 -2.434057401762234046e-03 3.070057516818597201e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.805247674593746410e-02 1.263418703125285925e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.629432426981108684e-03 1.674499626470012936e+00 3.408259911575649004e-01 2.264462073223242056e-01 0.000000000000000000e+00 9.942812585929270419e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.241853962453840721e-01 -5.719303918291593174e-03 0.000000000000000000e+00 -5.719303918291593174e-03 8.365852156742870646e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.566300008540713884e-01 1.672130430067872098e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.785126219384543411e-03 2.147628982383531060e+00 5.426627478079862898e-01 2.171770011685406065e-01 0.000000000000000000e+00 9.879317535925784544e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.514721042336845791e-01 -1.206917969026355918e-02 0.000000000000000000e+00 -1.206917969026355918e-02 1.972965933604135975e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.318804254486838134e-01 2.141170999916876205e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.222636549670120046e-02 2.683429554328327971e+00 8.147925720549293871e-01 2.065996092863401912e-01 0.000000000000000000e+00 9.768068336303111776e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.303005461933895104e+00 -2.319463621791858013e-02 0.000000000000000000e+00 -2.319463621791858013e-02 4.132909644406100244e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.224467725315577904e-01 2.667722811683442163e+00 0.000000000000000000e+00 0.000000000000000000e+00
